fips,PST045214,PST045213,PST040210,PST120214,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010213,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030213,LND110210,POP060210
31153,172193,169358,158840,8.4,6.6,158840,8.0,28.4,9.8,50.0,89.8,4.4,0.6,2.3,0.1,2.8,8.1,82.8,84.2,5.4,8.2,94.9,36.2,18098,20.3,64537,70.6,18.9,162400,59606,2.71,30189,69965,6.6,3337,44160,5.4,9207,11983,2.3,0.0,3.1,0.0,2.0,28.0,587723,3005930,2285801,15630,160273,1382,238.99,664.6
31155,20919,20881,20780,0.7,0.5,20780,6.3,25.0,16.9,49.3,97.6,0.5,0.4,0.4,0.0,1.0,2.1,95.8,89.6,1.3,4.4,93.3,24.4,1883,26.8,9316,79.1,8.9,147600,8142,2.52,30039,59870,8.0,524,3681,4.5,1729,1838,0.0,0.0,0.0,0.0,0.0,14.7,0,147778,148986,7398,9218,102,750.23,27.7
31157,36465,36870,36970,-1.4,-0.3,36970,6.8,24.5,17.1,51.6,94.1,0.8,2.9,0.7,0.1,1.4,22.6,73.9,84.3,4.3,12.5,87.1,20.0,3008,15.8,16287,67.7,15.9,102600,14690,2.45,23220,43444,13.7,1078,12304,-4.4,2531,3676,0.0,0.0,0.0,0.0,0.0,27.9,177862,0,519759,14283,52919,29,739.40,50.0
31159,17150,17064,16750,2.4,1.9,16750,5.9,23.4,16.3,48.9,97.3,0.5,0.4,0.5,0.0,1.2,2.1,95.6,84.8,1.2,3.0,91.9,26.1,1113,20.6,6941,73.5,12.3,142600,6165,2.51,28359,59435,8.8,439,5441,0.3,1201,1276,0.0,0.0,0.0,0.0,0.0,27.8,0,127056,109761,6662,13537,53,571.43,29.3
31161,5259,5252,5469,-3.8,-4.0,5469,5.3,22.5,23.2,50.6,85.8,0.3,10.1,0.3,0.2,3.3,3.7,83.7,91.8,1.4,3.0,89.8,22.6,536,16.1,2898,69.5,6.8,65800,2380,2.22,22551,38548,16.0,168,1037,1.1,457,520,0.0,5.4,0.0,0.0,0.0,0.0,0,64763,50250,9302,2876,3,2440.86,2.2
31163,3074,3110,3152,-2.5,-1.3,3152,5.0,21.2,25.9,51.1,98.8,0.2,0.2,0.3,0.0,0.6,1.8,97.0,93.8,0.4,2.5,90.1,17.7,256,26.1,1932,81.2,3.4,82000,1369,2.24,24837,41835,13.5,81,510,-19.3,237,0,0.0,0.0,0.0,0.0,0.0,0.0,0,11258,35456,12043,2145,8,565.83,5.6
31165,1303,1319,1311,-0.6,0.6,1311,5.4,22.2,21.3,49.0,97.0,0.1,1.2,0.1,0.0,1.7,4.5,93.1,96.4,2.6,0.9,91.2,27.0,130,20.2,816,77.4,1.2,86500,553,2.22,31517,42014,9.3,13,35,-2.8,112,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2066.74,0.6
31167,6069,6084,6129,-1.0,-0.7,6129,6.5,26.4,15.1,49.4,96.4,0.9,1.1,0.1,0.0,1.5,5.3,91.7,88.4,1.6,3.8,91.8,17.7,317,17.6,2629,81.7,4.9,98900,2336,2.62,23131,51493,8.5,108,0,0.0,480,596,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33003,5201,1630,8,427.95,14.3
31169,5230,5196,5228,0.0,-0.6,5228,4.9,21.0,25.1,51.5,98.1,0.4,0.2,0.4,0.0,1.0,2.1,96.1,89.7,0.9,2.0,91.4,16.3,477,14.5,2728,79.6,6.7,61200,2343,2.15,26965,44422,13.4,208,1962,8.7,448,532,0.0,0.0,0.0,0.0,0.0,0.0,0,98568,54943,10654,1858,16,573.81,9.1
31171,687,696,647,6.2,7.6,647,8.2,22.7,20.0,48.5,98.7,0.1,0.1,0.3,0.0,0.7,3.1,95.6,95.0,3.3,3.0,94.5,22.7,73,16.5,400,73.7,1.4,79200,323,2.27,30116,55089,7.7,21,143,-9.5,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,987,0,713.24,0.9
31173,6969,6897,6940,0.4,-0.6,6940,10.3,35.5,12.3,50.7,40.7,0.5,55.9,0.5,0.0,2.3,4.2,39.0,89.4,1.0,7.3,86.3,15.8,400,16.7,2398,67.0,9.9,68500,2050,3.33,17106,41400,26.9,122,1282,-8.8,294,302,0.0,0.0,0.0,0.0,0.0,0.0,0,114984,54072,7443,0,18,393.58,17.6
