item,fips,fcode
MAN450207,31115,6021
MAN450207,31117,6021
MAN450207,31121,6021
MAN450207,31123,6021
MAN450207,31125,6021
MAN450207,31127,6021
MAN450207,31129,6021
MAN450207,31133,6021
MAN450207,31135,6021
MAN450207,31139,6021
MAN450207,31143,6021
MAN450207,31145,6021
MAN450207,31147,6021
MAN450207,31149,6021
MAN450207,31161,6021
MAN450207,31163,6021
MAN450207,31165,6021
MAN450207,31167,6021
MAN450207,31169,6021
MAN450207,31171,6021
MAN450207,31173,6021
MAN450207,31175,6021
MAN450207,31181,6021
MAN450207,31183,6021
MAN450207,32001,6021
MAN450207,32007,6021
MAN450207,32009,6021
MAN450207,32011,6021
MAN450207,32013,6021
MAN450207,32015,6021
MAN450207,32017,6021
MAN450207,32021,6021
MAN450207,32023,6021
MAN450207,32027,6021
MAN450207,32029,6021
MAN450207,32033,6021
MAN450207,35003,6021
MAN450207,35006,6021
MAN450207,35007,6021
MAN450207,35011,6021
MAN450207,35017,6021
MAN450207,35019,6021
MAN450207,35021,6021
MAN450207,35023,6021
MAN450207,35027,6021
MAN450207,35028,6021
MAN450207,35033,6021
MAN450207,35035,6021
MAN450207,35037,6021
MAN450207,35039,6021
MAN450207,35041,6021
MAN450207,35047,6021
MAN450207,35051,6021
MAN450207,35053,6021
MAN450207,35055,6021
MAN450207,35057,6021
MAN450207,35059,6021
MAN450207,36033,6021
MAN450207,36041,6021
MAN450207,36095,6021
MAN450207,37011,6021
MAN450207,37029,6021
MAN450207,37033,6021
MAN450207,37043,6021
MAN450207,37053,6021
MAN450207,37073,6021
MAN450207,37075,6021
MAN450207,37079,6021
MAN450207,37095,6021
MAN450207,37099,6021
MAN450207,37103,6021
MAN450207,37115,6021
MAN450207,37131,6021
MAN450207,37137,6021
MAN450207,37143,6021
MAN450207,37173,6021
MAN450207,37177,6021
MAN450207,37185,6021
MAN450207,38001,6021
MAN450207,38005,6021
MAN450207,38007,6021
MAN450207,38009,6021
MAN450207,38011,6021
MAN450207,38013,6021
MAN450207,38019,6021
MAN450207,38021,6021
MAN450207,38023,6021
MAN450207,38025,6021
